Leaflet id,Chat GPT excerpts %
0,14.145077720207254
5,15.647668393782384
51,0.5159474671669794
53,9.528257823446987
59,9.766162310866575
63,4.904250350303596
64,10.976179355441383
90,7.4324324324324325
94,15.347721822541967
99,10.637322329206786
103,11.863615133115367
106,11.172668513388736
107,9.774774774774775
108,9.864864864864865
115,10.916628281897744
119,12.296632614453273
120,12.142197599261312
121,17.91320406278855
122,7.894736842105263
124,11.322596388482186
127,7.027027027027027
128,6.126126126126126
130,9.954954954954955
132,5.900900900900901
133,8.843850760018425
141,9.66837926202709
145,8.827650630546474
146,12.561483163072266
156,11.69833729216152
161,10.883357735480722
163,15.617374328940947
168,8.94901144640999
197,11.713933415536374
199,8.407572383073497
204,12.504708097928438
205,7.005649717514125
209,0.0
212,20.859277708592778
215,10.336239103362391
216,7.9424307036247335
217,8.740655549166187
224,0.0
239,11.42640938327658
245,0.0
247,17.99501867995019
249,0.0
250,0.0
255,22.033898305084747
256,21.897407611693325
258,10.055180870631514
263,15.737704918032787
264,8.519195612431444
265,13.016453382084094
267,19.242490204614715
274,11.924939467312349
275,18.349806617963043
276,23.179160021265286
277,13.609782030834662
280,14.490861618798956
291,6.136267456622937
295,6.531531531531532
302,12.687385740402194
304,15.089959373186304
318,5.5397727272727275
319,21.192052980132452
324,5.840033855268726
326,0.0
329,15.316205533596838
336,39.633173843700156
338,12.304120719674986
343,7.549668874172186
361,22.246777163904234
365,8.51697438951757
371,12.760511882998172
395,13.911290322580646
397,30.28322440087146
399,11.362646930779277
401,2.548076923076923
403,16.944444444444443
406,15.75178997613365
407,14.558472553699284
410,5.92396109637489
417,15.798687089715536
418,20.525164113785557
419,9.102844638949671
450,20.44875063742988
451,0.5609382967873534
452,9.8419173890872
457,10.09688934217236
461,16.4983164983165
464,27.892325315005728
465,8.15673730507797
467,30.747663551401867
469,10.915320606950562
470,14.145863925599608
471,19.970631424375917
472,15.550378567268492
475,9.784507862550962
486,8.75776397515528
487,9.163802978235967
Average,11.996970143487754
